Prix du metre carre;Commune;code_postal
15283;LAVALETTE;34
13502;PARIS 7E ARRONDISSEMENT;75
13420;PARIS 6E ARRONDISSEMENT;75
12598;PARIS 4E ARRONDISSEMENT;75
12306;PARIS 5E ARRONDISSEMENT;75
12236;PARIS 1ER ARRONDISSEMENT;75
12200;PARIS 3E ARRONDISSEMENT;75
12162;RAMATUELLE;83
11890;PARIS 8E ARRONDISSEMENT;75
11805;PARIS 2E ARRONDISSEMENT;75
11526;PARIS 9E ARRONDISSEMENT;75
11496;PARIS 16E ARRONDISSEMENT;75
11153;NEUILLY SUR SEINE;92
11014;PARIS 17E ARRONDISSEMENT;75
10826;PARIS 11E ARRONDISSEMENT;75
10721;VAL D'ISERE;73
10650;PARIS 15E ARRONDISSEMENT;75
10611;PARIS 14E ARRONDISSEMENT;75
10501;PARIS 10E ARRONDISSEMENT;75
10147;ROMERY;2
10066;PARIS 12E ARRONDISSEMENT;75
10063;PARIS 18E ARRONDISSEMENT;75
9860;SAINT TROPEZ;83
9804;ESTAING;65
9623;PARIS 13E ARRONDISSEMENT;75
9607;LEVALLOIS PERRET;92
9404;PARIS 20E ARRONDISSEMENT;75
9289;SAINT MANDE;94
9165;PARIS 19E ARRONDISSEMENT;75
9133;VINCENNES;94
9041;BOULOGNE BILLANCOURT;92
8961;SAINT JEAN CAP FERRAT;6
8391;MEGEVE;74
8381;CASTELNOU;66
8355;SAINT MARTIN DES LAIS;3
8313;LEGE CAP FERRET;33
8259;ISSY LES MOULINEAUX;92
8250;ILE D'AIX;17
8166;BEAURECUEIL;13
8161;LAVIGERIE;15
8000;VALCABRERE;31
7850;MONTRIOND;74
7849;MONTROUGE;92
7808;CHARENTON LE PONT;94
7771;LES ALLUES;73
7684;EZE;6
7634;CAP D'AIL;6
7466;VIVES;66
7457;SAINT CLOUD;92
7426;LES PORTES EN RE;17
7405;RAYOL CANADEL SUR MER;83
7379;LA CLUSAZ;74
7358;THIZAY;37
7352;MALAKOFF;92
7325;VILLEFRANCHE SUR MER;6
7261;CHAMONIX MONT BLANC;74
7249;SAINT BON TARENTAISE;73
7233;PUTEAUX;92
7219;NERNIER;74
7219;LES LILAS;93
7213;VEYRIER DU LAC;74
7149;SAINTE FOY TARENTAISE;73
7148;SURESNES;92
7135;VANVES;92
7132;CLICHY;92
7108;SOURAIDE;64
7073;LE BOIS PLAGE EN RE;17
7068;BEAULIEU SUR MER;6
7041;COURBEVOIE;92
7000;SONNAC SUR L'HERS;11
6996;LA GARENNE COLOMBES;92
6991;ARCACHON;33
6973;VERSAILLES;78
6961;LE VESINET;78
6841;PENNEDEPIE;14
6821;ETERPIGNY;62
6792;ONAY;70
6739;SOORTS HOSSEGOR;40
6718;LE TOUQUET PARIS PLAGE;62
6710;ESSERT ROMAND;74
6692;ASNIERES SUR SEINE;92
6683;SCEAUX;92
6644;BOIS COLOMBES;92
6617;RECOUBEAU JANSAC;26
6586;NOGENT SUR MARNE;94
6575;LE CHESNAY;78
6567;RIVEDOUX PLAGE;17
6531;SAINT MARTIN DE RE;17
6528;LES GETS;74
6496;SAINT OUEN;93
6491;ROMAIN;54
6489;BIARRITZ;64
6488;CLAMART;92
6485;CROISSY SUR SEINE;78
6483;CASSIS;13
6468;LE PRE SAINT GERVAIS;93
6468;MONTREUIL;93
6462;SEVRES;92
6448;DUINGT;74
6429;SEMEZIES CACHAN;32
6416;GARCHES;92
6415;THEOULE SUR MER;6
6376;BEAUSOLEIL;6
6335;VIROFLAY;78
6313;GENTILLY;94
6311;GUETHARY;64
6306;PANTIN;93
6296;BOURG LA REINE;92
6258;SAINT MAURICE;94
6239;CHATILLON;92
6230;HOEDIC;56
6229;LE KREMLIN BICETRE;94
6224;MARNES LA COQUETTE;92
6221;FONTENAY SOUS BOIS;94
6213;SAINT MAUR DES FOSSES;94
6200;LYON 6E ARRONDISSEMENT;69
6200;SAINT GERMAIN EN LAYE;78
6154;VAUCRESSON;92
6101;JOINVILLE LE PONT;94
6065;MAISONS LAFFITTE;78
6057;MORZINE;74
6052;VILLE D'AVRAY;92
6037;LYON 2E ARRONDISSEMENT;69
6010;RUEIL MALMAISON;92
6009;ARCUEIL;94
6000;LAFAGE;11
5997;SAINT MARTIN DE BELLEVILLE;73
5980;CHAVILLE;92
5973;LA TURBIE;6
5942;LA FLOTTE;17
5929;DAVRON;78
5906;MENTHON SAINT BERNARD;74
5898;MEUDON;92
5892;GRIMAUD;83
5874;LA COUARDE SUR MER;17
5846;DEMANGEVELLE;70
5833;EYGALIERES;13
5832;MAISONS ALFORT;94
5810;LOIX;17
5800;ILE AUX MOINES;56
5792;ROQUEBRUNE CAP MARTIN;6
5787;PIETROSELLA;2A
5779;LE PLESSIS ROBINSON;92
5772;NANTERRE;92
5761;SEVRIER;74
5744;COLOMBES;92
5738;LE MESNIL LE ROI;78
5729;SAINT JEAN DE LUZ;64
5713;SAUSSET LES PINS;13
5698;LE PERREUX SUR MARNE;94
5696;BAGNOLET;93
5692;ALEX;74
5689;LES LOGES EN JOSAS;78
5688;LA MOLE;83
5684;OPIO;6
5677;PIANOTTOLI CALDARELLO;2A
5675;ROMAINVILLE;93
5638;SAINT CLEMENT DES BALEINES;17
5635;BANDOL;83
5625;ENGHIEN LES BAINS;95
5623;ANTONY;92
5621;DESHAIES;#N/A
5613;JOB;63
5611;LES BAUX DE PROVENCE;13
5608;CHATOU;78
5588;SAINT ANTONIN SUR BAYON;13
5566;MASCARAS;32
5565;LYON 1E ARRONDISSEMENT;69
5556;SAINT ETIENNE DU GRES;13
5537;LECCI;2A
5536;CACHAN;94
5525;SAINT ESTEVE JANSON;13
5522;HAUTELUCE;73
5522;THOIRY;73
5494;ARS EN RE;17
5468;SAINTE MARIE DE RE;17
5463;SAINTE MAXIME;83
5456;LE THOLONET;13
5453;SAINT CYR AU MONT D'OR;69
5452;BIDART;64
5448;DIVONNE LES BAINS;1
5442;BAGNEUX;92
5431;SAINT CYR SUR MER;83
5431;SAINT PAUL DE VENCE;6
5425;LYON 4E ARRONDISSEMENT;69
5425;LE PLAN DE LA TOUR;83
