INSEE_COM;INSEE_DEP;NOM_COM_M;PrixMoyen_M2
75120;75;PARIS 20E ARRONDISSEMENT;8604
75119;75;PARIS 19E ARRONDISSEMENT;8263
75111;75;PARIS 11E ARRONDISSEMENT;9819
75118;75;PARIS 18E ARRONDISSEMENT;9162
75117;75;PARIS 17E ARRONDISSEMENT;10205
75110;75;PARIS 10E ARRONDISSEMENT;9790
75109;75;PARIS 9E ARRONDISSEMENT;10631
75108;75;PARIS 8E ARRONDISSEMENT;10858
75103;75;PARIS 3E ARRONDISSEMENT;11144
75102;75;PARIS 2E ARRONDISSEMENT;10833
75101;75;PARIS 1ER ARRONDISSEMENT;10969
75113;75;PARIS 13E ARRONDISSEMENT;9114
75112;75;PARIS 12E ARRONDISSEMENT;9028
75115;75;PARIS 15E ARRONDISSEMENT;9852
75114;75;PARIS 14E ARRONDISSEMENT;9924
75107;75;PARIS 7E ARRONDISSEMENT;11965
75106;75;PARIS 6E ARRONDISSEMENT;11737
75105;75;PARIS 5E ARRONDISSEMENT;11290
75104;75;PARIS 4E ARRONDISSEMENT;11681
75116;75;PARIS 16E ARRONDISSEMENT;10566
69389;69;LYON 9E ARRONDISSEMENT;3425
69386;69;LYON 6E ARRONDISSEMENT;5822
69384;69;LYON 4E ARRONDISSEMENT;4793
69381;69;LYON 1E ARRONDISSEMENT;5023
69388;69;LYON 8E ARRONDISSEMENT;3726
69387;69;LYON 7E ARRONDISSEMENT;4336
69385;69;LYON 5E ARRONDISSEMENT;3738
69383;69;LYON 3E ARRONDISSEMENT;4466
69382;69;LYON 2E ARRONDISSEMENT;5403
13213;13;MARSEILLE 13E ARRONDISSEMENT;2664
13215;13;MARSEILLE 15E ARRONDISSEMENT;1912
13214;13;MARSEILLE 14E ARRONDISSEMENT;1778
13216;13;MARSEILLE 16E ARRONDISSEMENT;3039
13212;13;MARSEILLE 12E ARRONDISSEMENT;3327
13211;13;MARSEILLE 11E ARRONDISSEMENT;3159
13210;13;MARSEILLE 10E ARRONDISSEMENT;2471
13207;13;MARSEILLE 7E ARRONDISSEMENT;4196
13206;13;MARSEILLE 6E ARRONDISSEMENT;3162
13205;13;MARSEILLE 5E ARRONDISSEMENT;2705
13204;13;MARSEILLE 4E ARRONDISSEMENT;2369
13203;13;MARSEILLE 3E ARRONDISSEMENT;1581
13202;13;MARSEILLE 2E ARRONDISSEMENT;2706
13201;13;MARSEILLE 1ER ARRONDISSEMENT;2580
13209;13;MARSEILLE 9E ARRONDISSEMENT;2852
13208;13;MARSEILLE 8E ARRONDISSEMENT;3751
59668;59;ZUYDCOOTE;1816
59340;59;LEFFRINCKOUCKE;1938
59260;59;GHYVELDE;2066
59107;59;BRAY DUNES;2526
59605;59;UXEM;2081
59588;59;TETEGHEM COUDEKERQUE VILLAGE;2048
59183;59;DUNKERQUE;1737
59155;59;COUDEKERQUE BRANCHE;1502
59131;59;CAPPELLE LA GRANDE;1670
59271;59;GRANDE SYNTHE;1345
59016;59;ARMBOUTS CAPPEL;1718
59359;59;LOON PLAGE;1591
59273;59;GRAVELINES;1709
59272;59;GRAND FORT PHILIPPE;1425
62645;62;OYE PLAGE;1653
59448;59;OOST CAPPEL;1186
59326;59;KILLEM;1327
59309;59;HONDSCHOOTE;1571
59657;59;WEST CAPPEL;1801
59641;59;WARHEM;1628
59499;59;REXPOEDE;1415
59478;59;QUAEDYPRE;1962
59579;59;STEENE;1491
59570;59;SOCX;1864
59319;59;HOYMILLE;1884
59162;59;CROCHTE;2158
59082;59;BIERNE;2002
59067;59;BERGUES;1648
59576;59;SPYCKER;1477
59463;59;PITGAM;1468
59110;59;BROUCKERQUE;1888
59159;59;CRAYWICK;1862
59094;59;BOURBOURG;1308
62766;62;SAINT OMER CAPELLE;1745
62748;62;SAINT FOLQUIN;1585
59532;59;SAINT GEORGES SUR L AA;1440
62852;62;VIEILLE EGLISE;1624
62634;62;OFFEKERQUE;1546
62623;62;NOUVELLE EGLISE;1757
62393;62;GUEMPS;1727
62548;62;MARCK;1777
62239;62;COQUELLES;1885
62193;62;CALAIS;1394
62774;62;SANGATTE;2029
59318;59;HOUTKERQUE;1530
59046;59;BAMBECQUE;1622
59665;59;WYLDER;2090
59663;59;WORMHOUT;1657
59305;59;HERZEELE;1297
59666;59;ZEGERSCAPPEL;1603
59338;59;LEDRINGHEM;2173
59210;59;ESQUELBECQ;1532
59083;59;BISSEZEELE;1684
59397;59;MERCKEGHEM;1606
59358;59;LOOBERGHE;1821
59200;59;ERINGHEM;1380
59182;59;DRINCHAM;926
59089;59;BOLLEZEELE;1287
59539;59;SAINT PIERRE BROUCK;2633
59130;59;CAPPELLE BROUCK;1622
62756;62;SAINTE MARIE KERQUE;1613
62057;62;AUDRUICQ;1556
62621;62;NORTKERQUE;1690
62043;62;ATTAQUES;1555
62038;62;ARDRES;1559
62031;62;ANDRES;1566
62769;62;SAINT TRICAT;1778
62615;62;NIELLES LES CALAIS;1875
62408;62;HAMES BOUCRES;1889
62360;62;FRETHUN;2038
62244;62;COULOGNE;1645
62751;62;SAINT INGLEVERT;1875
62657;62;PIHEN LES GUINES;1356
62654;62;PEUPLINGUES;1971
62444;62;HERVELINGHEN;2381
62307;62;ESCALLES;2419
62156;62;BONNINGUES LES CALAIS;1818
62899;62;WISSANT;3748
62806;62;TARDINGHEN;2910
62052;62;AUDEMBERT;2201
59086;59;BOESCHEPE;1910
59662;59;WINNEZEELE;1763
59580;59;STEENVOORDE;1802
59667;59;ZERMEZEELE;1334
59453;59;OUDEZEELE;1586
59282;59;HARDIFORT;1628
59655;59;WEMAERS CAPPEL;2018
59516;59;RUBROUCK;1476
59443;59;OCHTEZEELE;1511
59018;59;ARNEKE;1278
59628;59;VOLCKERINCKHOVE;1922
59337;59;LEDERZEELE;1568
59119;59;BUYSSCHEURE;1578
59111;59;BROXEELE;2004
59664;59;WULVERDINGHE;1611
59647;59;WATTEN;1075
59538;59;SAINT MOMELIN;1490
59402;59;MILLAM;1427
59307;59;HOLQUE;1530
62730;62;RUMINGHEM;1278
62662;62;POLINCOVE;1524
62618;62;NORDAUSQUES;1663
62598;62;MUNCQ NIEURLET;1073
62297;62;EPERLECQUES;1636
62087;62;BAYENGHEM LES EPERLECQUES;1406
62906;62;ZUTKERQUE;1581
62904;62;ZOUAFQUES;1297
62699;62;RECQUES SUR HEM;1844
62614;62;NIELLES LES ARDRES;1618
62531;62;LOUCHES;1509
62716;62;RODELINGHEM;1441
62488;62;LANDRETHUN LES ARDRES;1817
62174;62;BREMES;1572
62161;62;BOUQUEHAULT;1177
62078;62;BALINGHEM;1645
62059;62;AUTINGUES;1655
62439;62;HERMELINGHEN;1643
62397;62;GUINES;1499
62334;62;FIENNES;1293
62203;62;CAMPAGNE LES GUINES;1408
62191;62;CAFFIERS;1060
62711;62;RINXENT;1301
62505;62;LEULINGHEN BERNES;1717
62503;62;LEUBRINGHEN;2125
62487;62;LANDRETHUN LE NORD;1819
62329;62;FERQUES;1412
62560;62;MARQUISE;1663
62089;62;BAZINGHEN;2219
62056;62;AUDRESSELLES;3337
62054;62;AUDINGHEN;2464
62025;62;AMBLETEUSE;2345
59508;59;RONCQ;2567
59426;59;NEUVILLE EN FERRAIN;2398
59279;59;HALLUIN;2031
59656;59;WERVICQ SUD;2690
59152;59;COMINES;2143
59098;59;BOUSBECQUE;2326
59535;59;SAINT JANS CAPPEL;1816
59401;59;METEREN;1735
59262;59;GODEWAERSVELDE;1395
59237;59;FLETRE;2069
59073;59;BERTHEN;3060
59587;59;TERDEGHEM;1872
59546;59;SAINT SYLVESTRE CAPPEL;1825
59189;59;EECKE;1506
59120;59;CAESTRE;1926
59536;59;SAINTE MARIE CAPPEL;2225
59454;59;OXELAERE;2202
59308;59;HONDEGHEM;1438
59135;59;CASSEL;1701
59669;59;ZUYTPEENE;1603
59577;59;STAPLE;1707
59436;59;NOORDPEENE;1418
59054;59;BAVINCHOVE;1434
62225;62;CLAIRMARAIS;1615
62040;62;ARQUES;1437
59433;59;NIEURLET;1522
62819;62;TILQUES;1789
