Commune;Prixm2;Code_postal
Paris 1e arrondissement;12499.0;75001
Paris 2e arrondissement;10379.0;75002
Paris 3e arrondissement;11321.0;75003
Paris 4e arrondissement;13288.0;75004
Paris 5e arrondissement;12177.0;75005
Paris 6e arrondissement;15317.0;75006
Paris 7e arrondissement;14200.0;75007
Paris 8e arrondissement;12427.0;75008
Paris 9e arrondissement;9337.0;75009
Paris 10e arrondissement;8609.0;75010
Paris 11e arrondissement;9132.0;75011
Paris 12e arrondissement;8340.0;75012
Paris 13e arrondissement;8197.0;75013
Paris 14e arrondissement;8935.0;75014
Paris 15e arrondissement;9233.0;75015
Paris 16e arrondissement;10380.0;75016
Paris 17e arrondissement;8957.0;75017
Paris 18e arrondissement;7765.0;75018
Paris 19e arrondissement;7157.0;75019
Paris 20e arrondissement;7329.0;75020
Lyon 1e arrondissement;4086.0;69001
Lyon 2e arrondissement;5718.0;69002
Lyon 3e arrondissement;3991.0;69003
Lyon 4e arrondissement;4105.0;69004
Lyon 5e arrondissement;3091.0;69005
Lyon 6e arrondissement;4796.0;69006
Lyon 7e arrondissement;3737.0;69007
Lyon 8e arrondissement;2594.0;69008
Lyon 9e arrondissement;2771.0;69010
Marseille 1e arrondissement;2311.0;13001
Marseille 2e arrondissement;3553.0;13002
Marseille 3e arrondissement;1951.0;13003
Marseille 4e arrondissement;2406.0;13004
Marseille 5e arrondissement;2703.0;13005
Marseille 6e arrondissement;3004.0;13006
Marseille 7e arrondissement;3510.0;13007
Marseille 8e arrondissement;3604.0;13008
Marseille 9e arrondissement;2898.0;13009
Marseille 10e arrondissement;2357.0;13010
Marseille 11e arrondissement;2747.0;13011
Marseille 12e arrondissement;2980.0;13012
Marseille 13e arrondissement;2515.0;13013
Marseille 14e arrondissement;1907.0;13014
Marseille 15e arrondissement;1862.0;13015
Marseille 16e arrondissement;2850.0;13016
Val de briey;1187.0;54790
Val de briey;1187.0;54150
La drenne;1867.0;60790
Champagne;1164.0;7340
Champagne;1164.0;17620
Champagne;1164.0;72470
Champagne;1865.0;7340
Champagne;1865.0;17620
Champagne;1865.0;72470
Champagne;1186.0;7340
Champagne;1186.0;17620
Champagne;1186.0;72470
Marbois;863.0;27160
Marbois;863.0;27240
Arlay;942.0;39210
Arlay;942.0;39140
Argentonnay;965.0;79150
Argentonnay;965.0;79300
Gommerville;1596.0;28310
Gommerville;1596.0;28700
Gommerville;1596.0;76430
Gommerville;1124.0;28310
Gommerville;1124.0;28700
Gommerville;1124.0;76430
Beaufay;1147.0;72110
La chailleuse;1038.0;39270
La chailleuse;1038.0;39570
Courcemont;1160.0;72110
Ecaillon;1406.0;59176
Le parc;1046.0;50870
Marambat;1238.0;32190
Puxieux;979.0;54800
Peyre en aubrac;1206.0;48130
Tronville;787.0;54800
Montmoreau;1130.0;16190
Loubedat;1740.0;32110
Sarragachies;915.0;32400
Sombrun;1302.0;65700
Gorges du tarn causses;1554.0;48210
Gorges du tarn causses;1554.0;48320
Xonville;938.0;54800
Creully sur seulles;1704.0;14480
Heres;1085.0;65700
Moulins en bessin;1062.0;14480
Moulins en bessin;1062.0;14740
Ponts sur seulles;1496.0;14480
Buchy;1450.0;57420
Buchy;1450.0;76750
Langeais;1720.0;37130
Le val;1367.0;25440
Le val;1367.0;83143
Le val;1944.0;25440
Le val;1944.0;83143
Noues de sienne;900.0;14380
