Commune;Prixm2_Moy;Code_postal
Paris 1e arrondissement;12896;75001
Paris 2e arrondissement;11987;75002
Paris 3e arrondissement;12681;75003
Paris 4e arrondissement;14534;75004
Paris 5e arrondissement;13558;75005
Paris 6e arrondissement;15944;75006
Paris 7e arrondissement;15328;75007
Paris 8e arrondissement;14925;75008
Paris 9e arrondissement;10991;75009
Paris 10e arrondissement;9796;75010
Paris 11e arrondissement;10294;75011
Paris 12e arrondissement;9481;75012
Paris 13e arrondissement;8491;75013
Paris 14e arrondissement;10732;75014
Paris 15e arrondissement;10139;75015
Paris 16e arrondissement;11485;75016
Paris 17e arrondissement;10396;75017
Paris 18e arrondissement;9126;75018
Paris 19e arrondissement;7784;75019
Paris 20e arrondissement;8220;75020
Lyon 1e arrondissement;4900;69001
Lyon 2e arrondissement;6318;69002
Lyon 3e arrondissement;4897;69003
Lyon 4e arrondissement;4744;69004
Lyon 5e arrondissement;4324;69005
Lyon 6e arrondissement;5337;69006
Lyon 7e arrondissement;4648;69007
Lyon 8e arrondissement;3270;69008
Lyon 9e arrondissement;2962;69010
Marseille 1e arrondissement;2814;13001
Marseille 2e arrondissement;2720;13002
Marseille 3e arrondissement;1891;13003
Marseille 4e arrondissement;2618;13004
Marseille 5e arrondissement;2677;13005
Marseille 6e arrondissement;2936;13006
Marseille 7e arrondissement;4411;13007
Marseille 8e arrondissement;3794;13008
Marseille 9e arrondissement;2689;13009
Marseille 10e arrondissement;2442;13010
Marseille 11e arrondissement;2770;13011
Marseille 12e arrondissement;3181;13012
Marseille 13e arrondissement;2603;13013
Marseille 14e arrondissement;1696;13014
Marseille 15e arrondissement;1582;13015
Marseille 16e arrondissement;2763;13016
Magny la fosse;854.0;2420
Magnieu;1437.0;1300
Magnieu;1437.0;1300
Becquigny;530.0;2110
Becquigny;530.0;80500
Pont l eveque;2593.0;14130
Pont l eveque;2593.0;60400
Pont l eveque;2593.0;14130
Pont l eveque;1212.0;14130
Pont l eveque;1212.0;60400
Pont l eveque;1212.0;14130
Lehaucourt;1204.0;2420
Cambremer;1755.0;14340
Cambremer;1755.0;14340
Cambremer;1755.0;14340
Cambremer;1755.0;14340
Cambremer;1755.0;14340
Val de dagne;805.0;11220
Val de dagne;805.0;11220
Arles;2553.0;13104
Arles;2553.0;13123
Arles;2553.0;13200
Arles;2553.0;13200
Arles;2553.0;13280
Arles;2553.0;13280
Arles;2553.0;13129
Cernay;2038.0;14290
Cernay;2038.0;68700
Cernay;2038.0;86140
Cernay;2038.0;28120
Cernay;1446.0;14290
Cernay;1446.0;68700
Cernay;1446.0;86140
Cernay;1446.0;28120
Cernay;935.0;14290
Cernay;935.0;68700
Cernay;935.0;86140
Cernay;935.0;28120
Valorbiquet;1249.0;14290
Valorbiquet;1249.0;14290
Valorbiquet;1249.0;14290
Valorbiquet;1249.0;14290
Valorbiquet;1249.0;14290
Espins;2648.0;14220
Conde en normandie;1131.0;14770
Conde en normandie;1131.0;14770
Conde en normandie;1131.0;14770
Conde en normandie;1131.0;14110
Conde en normandie;1131.0;14110
Conde en normandie;1131.0;14110
Courtonne les deux eglises;1650.0;14290
Courtonne les deux eglises;1650.0;14290
Croisilles;1310.0;28210
Croisilles;1310.0;14220
Croisilles;1310.0;61230
Croisilles;1310.0;62128
Croisilles;1983.0;28210
Croisilles;1983.0;14220
Croisilles;1983.0;61230
